age,gender,degree,born_US,Family_income,nation_education,nation_race,nation_arms,nation_welfare,Assistance_to_the_poor,Assistance_to_other_countries,social_security,pres16,tax,Immigration,age_group,race
56,Male,Graduate,Yes,"$170,000 or over",Too little,Too little,Too much,About right,NA,NA,About right,Clinton,2,NA,50-59 years old,White
24,Male,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,About right,About right,About right,Clinton,2,NA,20-29 years old,White
80,Male,High School,No,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,NA,NA,80-89 years old,White
32,Male,Graduate,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,Disagree,30-39 years old,White
78,Male,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,3,NA,70-79 years old,White
58,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,50-59 years old,White
65,Female,High School,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,Too much,NA,NA,Too little,Clinton,2,Disagree,60-69 years old,White
NA,NA,High School,Yes,"$90,000 ~ $129,999",Too much,Too much,About right,Too much,NA,NA,NA,Trump,2,NA,NA,White
65,Male,High School,Yes,"$90,000 ~ $129,999",Too little,NA,About right,Too much,NA,NA,Too little,Trump,NA,Agree,60-69 years old,White
72,Male,Associate College,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too much,Too much,About right,Trump,NA,NA,70-79 years old,White
64,Male,High School,Yes,"$20,000 ~ $39,999",Too much,Too much,Too little,Too much,NA,NA,Too little,Trump,NA,Strongly agree,60-69 years old,Other
23,Female,High School,Yes,"$40,000 ~ $59,999",Too much,Too much,About right,Too much,NA,NA,About right,Trump,NA,Neither,20-29 years old,White
62,Female,Bachelors,Yes,"$170,000 or over",About right,About right,About right,Too much,NA,NA,Too little,Trump,1,NA,60-69 years old,White
59,Female,High School,Yes,"$90,000 ~ $129,999",Too much,About right,Too little,About right,NA,NA,Too little,Trump,NA,Agree,50-59 years old,White
37,Female,High School,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,Too much,Clinton,NA,NA,30-39 years old,White
72,Male,High School,Yes,"$90,000 ~ $129,999",About right,Too much,Too little,Too much,NA,NA,About right,Trump,NA,Neither,70-79 years old,White
34,Male,Bachelors,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,About right,NA,NA,Too little,Clinton,1,Strongly disagree,30-39 years old,White
34,Male,Graduate,Yes,"$130,000 ~ $169,999",Too little,About right,Too much,About right,NA,NA,About right,Clinton,2,Strongly disagree,30-39 years old,White
70,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,About right,Trump,2,NA,70-79 years old,White
65,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,NA,NA,60-69 years old,White
NA,Female,High School,Yes,"$10,000 ~ $19,999",About right,NA,About right,About right,NA,NA,About right,Clinton,NA,Neither,NA,White
24,Female,High School,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,2,Strongly disagree,20-29 years old,White
28,Transgender,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,20-29 years old,White
37,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too much,Too much,Too little,Trump,1,NA,30-39 years old,White
72,Female,Graduate,Yes,"$90,000 ~ $129,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,2,Disagree,70-79 years old,White
60,Male,Bachelors,Yes,"$90,000 ~ $129,999",Too little,About right,About right,About right,NA,NA,Too little,Trump,1,NA,60-69 years old,White
31,Male,High School,No,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,30-39 years old,White
47,Female,Associate College,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,About right,Too much,About right,Trump,1,NA,40-49 years old,White
63,Female,High School,Yes,NA,Too little,Too little,Too little,About right,NA,NA,About right,Clinton,NA,Neither,60-69 years old,White
46,Male,High School,Yes,"$90,000 ~ $129,999",Too little,About right,About right,About right,NA,NA,Too little,Clinton,1,NA,40-49 years old,White
76,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,70-79 years old,White
84,Male,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,Too much,Trump,NA,NA,80-89 years old,White
67,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too much,Too much,Too little,Trump,NA,NA,60-69 years old,White
70,Female,Graduate,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,About right,Too much,About right,Trump,1,NA,70-79 years old,White
68,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too much,Trump,2,Strongly agree,60-69 years old,Other
58,Female,Less than high school,Yes,"$40,000 ~ $59,999",Too little,About right,About right,About right,NA,NA,Too little,Did not vote,1,Strongly agree,50-59 years old,Other
69,Male,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,About right,About right,About right,Clinton,3,NA,60-69 years old,White
39,Male,Associate College,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,NA,NA,30-39 years old,Hispanic
83,Female,Bachelors,Yes,NA,Too little,Too little,About right,About right,NA,NA,Too little,Clinton,1,Neither,80-89 years old,Black
60,Female,High School,No,"$10,000 ~ $19,999",Too little,About right,Too much,Too much,NA,NA,Too little,Clinton,1,NA,60-69 years old,Other
44,Male,Less than high school,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,NA,40-49 years old,White
38,Female,High School,Yes,"$40,000 ~ $59,999",Too little,About right,Too much,Too little,NA,NA,Too little,Clinton,1,NA,30-39 years old,White
59,Male,Graduate,Yes,"$170,000 or over",Too little,Too little,Too much,Too little,NA,NA,NA,Clinton,NA,Strongly disagree,50-59 years old,White
42,Male,High School,Yes,"$40,000 ~ $59,999",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,1,NA,40-49 years old,White
NA,Female,High School,Yes,"$20,000 ~ $39,999",Too little,About right,About right,Too much,NA,NA,Too little,Trump,NA,Agree,NA,White
77,Male,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too little,NA,NA,About right,Clinton,1,Neither,70-79 years old,White
69,Female,Graduate,Yes,"$20,000 ~ $39,999",About right,Too little,Too much,About right,NA,NA,About right,Clinton,3,NA,60-69 years old,White
55,Female,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,Too much,About right,NA,NA,About right,Clinton,1,NA,50-59 years old,White
62,Male,Graduate,Yes,"$130,000 ~ $169,999",Too much,About right,About right,About right,NA,NA,About right,Trump,NA,Disagree,60-69 years old,White
74,Female,High School,Yes,"Under $10,000",Too much,Too much,About right,Too much,NA,NA,Too little,Trump,1,Strongly agree,70-79 years old,White
NA,Female,Associate College,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,NA,American Native
68,Female,High School,Yes,"$10,000 ~ $19,999",Too little,About right,Too little,About right,NA,NA,Too little,Clinton,NA,Neither,60-69 years old,White
74,Male,High School,Yes,NA,NA,NA,NA,NA,Too little,Too much,Too little,Trump,2,NA,70-79 years old,White
55,Female,High School,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,Too much,NA,NA,Too little,Clinton,2,Agree,50-59 years old,White
79,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,NA,70-79 years old,White
67,Female,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,1,Disagree,60-69 years old,White
46,Male,Bachelors,Yes,"$170,000 or over",Too much,About right,Too little,Too much,NA,NA,About right,Trump,NA,Strongly disagree,40-49 years old,White
66,Male,Graduate,Yes,NA,About right,About right,Too much,About right,NA,NA,About right,Other,1,Disagree,60-69 years old,White
55,Female,Graduate,Yes,"$90,000 ~ $129,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,1,Disagree,50-59 years old,White
50,Female,Graduate,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,50-59 years old,Other
69,Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too little,About right,Clinton,NA,NA,60-69 years old,White
38,Female,Bachelors,Yes,"$170,000 or over",Too little,Too little,Too much,Too little,NA,NA,About right,Other,NA,Strongly disagree,30-39 years old,White
56,Male,Bachelors,No,"$170,000 or over",NA,NA,NA,NA,About right,Too much,About right,Trump,1,NA,50-59 years old,White
49,Male,Associate College,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,NA,40-49 years old,White
34,Female,Associate College,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,1,Neither,30-39 years old,White
51,Female,Bachelors,Yes,NA,Too much,About right,About right,Too much,NA,NA,About right,Trump,1,Strongly agree,50-59 years old,Other
58,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,Agree,50-59 years old,White
75,Female,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,70-79 years old,Black
37,Male,Bachelors,No,"$130,000 ~ $169,999",Too little,About right,Too much,About right,NA,NA,Too little,Clinton,2,NA,30-39 years old,Hispanic
40,Male,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,Too little,About right,NA,NA,About right,Trump,1,Neither,40-49 years old,White
NA,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,Agree,NA,White
36,Female,Graduate,Yes,"$20,000 ~ $39,999",Too little,About right,About right,Too little,NA,NA,Too little,Trump,2,NA,30-39 years old,White
36,Female,Bachelors,Yes,"Under $10,000",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,30-39 years old,Other
45,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too much,About right,Too much,NA,NA,Too little,Trump,1,NA,40-49 years old,Other
78,Female,Bachelors,Yes,NA,NA,NA,NA,NA,About right,About right,About right,Clinton,NA,NA,70-79 years old,White
65,Male,High School,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,About right,NA,NA,Too little,Clinton,1,Neither,60-69 years old,White
35,Female,Bachelors,Yes,"$60,000 ~ $89,999",About right,Too much,Too little,Too much,NA,NA,Too little,Trump,1,NA,30-39 years old,White
NA,Female,High School,Yes,"$170,000 or over",NA,NA,NA,NA,Too much,Too much,Too little,Trump,2,NA,NA,White
NA,Female,Associate College,Yes,NA,Too much,About right,Too little,Too much,NA,NA,Too little,Trump,1,Agree,NA,White
58,Male,Graduate,Yes,"$170,000 or over",Too little,Too little,Too much,About right,NA,NA,About right,Clinton,NA,NA,50-59 years old,White
70,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,Disagree,70-79 years old,White
62,Female,High School,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,NA,60-69 years old,White
65,Female,Bachelors,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,60-69 years old,White
74,Female,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,70-79 years old,White
40,Male,Bachelors,Yes,"$170,000 or over",Too little,Too little,Too much,About right,NA,NA,Too little,Other,NA,Agree,40-49 years old,White
55,Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,50-59 years old,White
86,Male,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,80-89 years old,White
74,Male,High School,Yes,"$170,000 or over",NA,NA,NA,NA,Too much,Too much,About right,Trump,1,Neither,70-79 years old,White
48,Female,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,40-49 years old,White
79,Male,Graduate,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,About right,NA,NA,About right,Trump,2,Agree,70-79 years old,White
65,Female,High School,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,60-69 years old,White
70,Male,High School,Yes,"$10,000 ~ $19,999",Too little,Too little,About right,About right,NA,NA,About right,Clinton,2,Neither,70-79 years old,White
81,Female,High School,Yes,"$20,000 ~ $39,999",Too much,Too much,Too little,Too much,NA,NA,About right,Trump,1,NA,80-89 years old,White
73,Male,Bachelors,Yes,"$170,000 or over",Too little,About right,Too little,Too much,NA,NA,Too little,Trump,NA,Neither,70-79 years old,Asian
74,Male,Graduate,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,2,Disagree,70-79 years old,White
27,Male,High School,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,Too much,Clinton,2,NA,20-29 years old,White
31,Female,Associate College,Yes,"$20,000 ~ $39,999",Too little,Too little,About right,Too much,NA,NA,Too little,Clinton,NA,Neither,30-39 years old,White
49,Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,1,Neither,40-49 years old,White
41,Male,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too little,Too little,Other,2,Strongly disagree,40-49 years old,White
67,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,60-69 years old,White
43,Female,Graduate,Yes,"$170,000 or over",Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,2,Disagree,40-49 years old,Asian
NA,Female,Associate College,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,2,Strongly disagree,NA,White
83,Male,High School,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,Disagree,80-89 years old,White
51,Female,Graduate,Yes,"$60,000 ~ $89,999",Too much,Too little,Too much,Too much,NA,NA,About right,Clinton,NA,Agree,50-59 years old,White
79,Male,Associate College,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,About right,NA,NA,About right,Clinton,2,NA,70-79 years old,White
69,Male,Bachelors,Yes,"$40,000 ~ $59,999",Too little,About right,Too much,Too little,NA,NA,About right,Other,2,Agree,60-69 years old,White
68,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,2,NA,60-69 years old,White
64,Female,High School,Yes,NA,NA,NA,NA,NA,About right,Too much,Too little,Trump,1,Agree,60-69 years old,White
80,Female,Less than high school,Yes,NA,NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,80-89 years old,White
75,Male,High School,Yes,"$60,000 ~ $89,999",Too little,Too much,Too much,About right,NA,NA,About right,Trump,1,Neither,70-79 years old,White
75,Female,Bachelors,Yes,"$170,000 or over",Too little,About right,About right,About right,NA,NA,About right,Trump,NA,Agree,70-79 years old,White
NA,Male,High School,Yes,NA,Too much,Too much,About right,Too much,NA,NA,About right,Trump,NA,Strongly agree,NA,White
42,Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,40-49 years old,White
NA,NA,High School,Yes,"$90,000 ~ $129,999",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,NA,NA,NA,White
46,Female,Less than high school,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,40-49 years old,Black
64,Female,Bachelors,No,"$90,000 ~ $129,999",Too little,Too much,Too little,Too much,NA,NA,About right,Trump,1,Agree,60-69 years old,Other
45,Female,High School,Yes,"$20,000 ~ $39,999",Too little,About right,Too much,About right,NA,NA,Too little,Clinton,2,Disagree,40-49 years old,Other
67,Female,High School,Yes,"$40,000 ~ $59,999",Too little,About right,Too much,About right,NA,NA,Too little,Clinton,2,NA,60-69 years old,White
77,Male,High School,Yes,"$40,000 ~ $59,999",About right,About right,About right,Too much,NA,NA,Too little,Trump,2,NA,70-79 years old,White
83,Male,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,About right,Too much,Too little,Clinton,2,Agree,80-89 years old,White
79,Male,Graduate,No,"$170,000 or over",About right,About right,About right,About right,NA,NA,About right,Clinton,2,NA,70-79 years old,Asian
NA,Male,High School,Yes,"$20,000 ~ $39,999",Too much,About right,Too little,About right,NA,NA,About right,Trump,NA,Agree,NA,White
31,Female,Bachelors,No,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Strongly disagree,30-39 years old,White
63,Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,About right,Clinton,1,NA,60-69 years old,Black
55,Female,Less than high school,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,2,NA,50-59 years old,White
43,Male,High School,Yes,"$60,000 ~ $89,999",About right,Too much,About right,Too much,NA,NA,Too little,Trump,1,Strongly agree,40-49 years old,White
67,Female,Bachelors,Yes,"$130,000 ~ $169,999",Too little,About right,Too much,Too little,NA,NA,About right,Clinton,NA,Disagree,60-69 years old,White
71,Male,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,2,Agree,70-79 years old,White
28,Male,Bachelors,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,About right,NA,NA,About right,Other,NA,Disagree,20-29 years old,Other
NA,Male,Bachelors,Yes,NA,NA,NA,NA,NA,About right,Too much,Too little,Clinton,NA,NA,NA,White
57,Male,Graduate,Yes,"$90,000 ~ $129,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,NA,Neither,50-59 years old,Black
54,Male,High School,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,50-59 years old,White
68,Female,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,60-69 years old,Other
48,Other,High School,Yes,"$40,000 ~ $59,999",Too little,About right,About right,Too little,NA,NA,Too little,Clinton,1,Agree,40-49 years old,White
44,Female,Associate College,Yes,"Under $10,000",Too little,About right,Too much,Too little,NA,NA,Too little,Did not vote,NA,Neither,40-49 years old,White
57,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,Too little,Clinton,2,Agree,50-59 years old,White
62,Female,Associate College,Yes,"$20,000 ~ $39,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,Agree,60-69 years old,Black
49,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Disagree,40-49 years old,Black
70,Male,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,About right,Trump,1,NA,70-79 years old,White
86,Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,About right,Too much,About right,Trump,NA,NA,80-89 years old,White
55,Female,High School,Yes,"$10,000 ~ $19,999",Too little,Too much,About right,Too little,NA,NA,Too little,Trump,1,Strongly agree,50-59 years old,White
76,Male,High School,Yes,Refused,Too little,About right,About right,About right,NA,NA,Too little,Clinton,2,NA,70-79 years old,White
49,Female,Associate College,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,40-49 years old,White
56,Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,1,Agree,50-59 years old,White
48,Male,High School,Yes,"$40,000 ~ $59,999",About right,About right,Too much,About right,NA,NA,About right,Clinton,2,Disagree,40-49 years old,White
60,Female,High School,Yes,"$90,000 ~ $129,999",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,NA,Strongly agree,60-69 years old,White
45,Female,Bachelors,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,2,NA,40-49 years old,White
NA,NA,Graduate,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,NA,White
56,Male,High School,Yes,"$90,000 ~ $129,999",Too much,Too much,Too little,Too much,NA,NA,Too little,Trump,1,NA,50-59 years old,White
25,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,About right,Did not vote,1,NA,20-29 years old,Hispanic
49,Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,Disagree,40-49 years old,Black
33,Female,Bachelors,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,About right,NA,NA,Too little,Clinton,NA,Neither,30-39 years old,Black
42,Female,Less than high school,Yes,"Under $10,000",Too little,About right,Too much,Too much,NA,NA,Too little,Trump,3,NA,40-49 years old,White
69,Male,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,60-69 years old,White
75,Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,Too little,About right,About right,NA,NA,About right,Other,NA,Disagree,70-79 years old,White
56,Female,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,50-59 years old,White
69,Male,Graduate,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,About right,Too little,Did not vote,2,Disagree,60-69 years old,White
58,Female,Bachelors,Yes,NA,NA,NA,NA,NA,Too little,Too little,Too little,Clinton,NA,NA,50-59 years old,White
62,Male,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,NA,NA,60-69 years old,White
63,Female,Associate College,Yes,"$20,000 ~ $39,999",Too little,Too little,Too much,About right,NA,NA,About right,Clinton,3,Disagree,60-69 years old,White
NA,Female,High School,Yes,NA,NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,NA,NA,White
75,Female,High School,Yes,"$20,000 ~ $39,999",Too much,Too much,Too little,Too much,NA,NA,About right,Trump,2,NA,70-79 years old,White
42,Male,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,About right,Trump,2,NA,40-49 years old,White
46,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,1,NA,40-49 years old,White
43,Female,High School,Yes,"$60,000 ~ $89,999",Too little,About right,Too much,About right,NA,NA,About right,Clinton,NA,Neither,40-49 years old,White
53,Female,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,Too little,About right,NA,NA,About right,Trump,NA,Strongly agree,50-59 years old,White
74,Male,Graduate,No,NA,NA,NA,NA,NA,Too little,About right,About right,Clinton,2,Strongly disagree,70-79 years old,White
69,Female,High School,Yes,"Under $10,000",NA,NA,NA,NA,Too much,Too much,Too little,Trump,1,NA,60-69 years old,White
74,Male,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,3,Disagree,70-79 years old,White
46,Female,Bachelors,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,About right,NA,NA,About right,Clinton,NA,Neither,40-49 years old,White
44,Female,Graduate,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,About right,NA,NA,About right,Clinton,1,Neither,40-49 years old,White
56,Female,Associate College,Yes,"$170,000 or over",About right,Too little,About right,About right,NA,NA,About right,Trump,1,Neither,50-59 years old,White
41,Male,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,Too little,NA,NA,About right,Clinton,NA,Neither,40-49 years old,White
70,Male,Graduate,Yes,"$60,000 ~ $89,999",About right,Too little,About right,Too little,NA,NA,Too little,Clinton,NA,Agree,70-79 years old,White
66,Female,High School,Yes,"$20,000 ~ $39,999",Too little,About right,About right,Too much,NA,NA,Too little,Trump,NA,Neither,60-69 years old,White
40,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,2,Strongly disagree,40-49 years old,White
53,Male,High School,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,About right,About right,Trump,NA,NA,50-59 years old,White
57,Male,Bachelors,Yes,NA,Too little,About right,Too much,About right,NA,NA,About right,Trump,NA,NA,50-59 years old,White
77,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,2,Agree,70-79 years old,White
53,Male,Bachelors,Yes,"$170,000 or over",Too much,Too much,About right,Too much,NA,NA,About right,Trump,NA,Strongly agree,50-59 years old,White
59,Female,High School,Yes,NA,NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,50-59 years old,White
42,Male,Bachelors,No,"$170,000 or over",Too little,About right,About right,About right,NA,NA,About right,Clinton,NA,Agree,40-49 years old,White
39,Female,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,30-39 years old,White
66,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,About right,About right,Too little,Clinton,1,Neither,60-69 years old,White
NA,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,NA,White
62,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too much,Too much,About right,Clinton,NA,NA,60-69 years old,Black
23,Female,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,20-29 years old,White
65,Female,High School,No,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,60-69 years old,Black
50,Female,Associate College,Yes,NA,Too little,About right,Too little,Too much,NA,NA,Too little,Trump,1,Agree,50-59 years old,White
NA,NA,Bachelors,Yes,Refused,About right,About right,Too much,About right,NA,NA,About right,Other,2,NA,NA,Other
52,Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,Too little,Other,1,Disagree,50-59 years old,White
57,Male,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,Disagree,50-59 years old,White
24,Male,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,Strongly disagree,20-29 years old,White
NA,Male,High School,Yes,NA,NA,NA,NA,NA,About right,Too much,Too much,Trump,1,NA,NA,White
70,Male,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,About right,Trump,NA,NA,70-79 years old,White
65,Female,Bachelors,No,"$170,000 or over",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,NA,60-69 years old,White
49,Male,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Trump,1,Neither,40-49 years old,Other
26,Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,About right,About right,About right,Trump,1,NA,20-29 years old,White
34,Female,Graduate,Yes,"$60,000 ~ $89,999",About right,About right,About right,About right,NA,NA,Too much,Trump,1,Neither,30-39 years old,White
52,Male,Less than high school,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,Strongly agree,50-59 years old,White
NA,NA,Bachelors,NA,NA,NA,NA,NA,NA,About right,Too much,Too much,Did not vote,NA,NA,NA,NA
